iter	Logloss
0	0.6303452062
1	0.5773140103
2	0.5348190291
3	0.496718348
4	0.4692854088
5	0.4391916955
6	0.4128679269
7	0.3930152718
8	0.3729890849
9	0.3580712214
10	0.3448191064
11	0.3301172282
12	0.3183755698
13	0.3079488816
14	0.2986485584
15	0.2899291708
16	0.2823833732
17	0.2758929431
18	0.2691000942
19	0.2639732895
20	0.259525249
21	0.2562277458
22	0.251912613
23	0.2489481413
24	0.2460968885
25	0.2428973494
26	0.239362023
27	0.2361418738
28	0.2334766291
29	0.2313592073
30	0.2284199482
31	0.2271024699
32	0.2252861925
33	0.223029946
34	0.2215093533
35	0.2201676711
36	0.2187755398
37	0.2171697813
38	0.2159176888
39	0.2142703625
40	0.2126416964
41	0.2112577009
42	0.2100842822
43	0.2092325162
44	0.2084222173
45	0.2070139129
46	0.2059291442
47	0.2046902645
48	0.2037664252
49	0.2031060833
50	0.2021969374
51	0.2013672166
52	0.2004803405
53	0.1999345892
54	0.1991438988
55	0.1984271894
56	0.1976822571
57	0.1968211219
58	0.1960289665
59	0.1949957208
60	0.194254003
61	0.1933011909
62	0.1925473761
63	0.1917364186
64	0.1909812833
65	0.1904759826
66	0.1897553289
67	0.1888589267
68	0.1878575632
69	0.1872924955
70	0.1866404891
71	0.1856685164
72	0.1851111169
73	0.184175474
74	0.1837608165
75	0.1833804708
76	0.1829672295
77	0.1822338925
78	0.1812491124
79	0.1807455605
80	0.179985092
81	0.1792039177
82	0.1785406548
83	0.1781018781
84	0.1773145416
85	0.1766432143
86	0.1760844884
87	0.1754246915
88	0.1749134042
89	0.1742869655
90	0.1739171104
91	0.1733712207
92	0.1728451063
93	0.1724543281
94	0.1720331435
95	0.1717250414
96	0.1711268316
97	0.1704220572
98	0.1698883226
99	0.1693690973
100	0.1687264759
101	0.1680502947
102	0.1675946827
103	0.1670527512
104	0.1665876584
105	0.1660261987
106	0.1655222468
107	0.1651035478
108	0.1646514236
109	0.1643761471
110	0.1638070408
111	0.1634343721
112	0.1628326722
113	0.1624977203
114	0.1620799482
115	0.1616401072
116	0.1610976899
117	0.1607641175
118	0.1603171042
119	0.1598984701
120	0.1594831896
121	0.1589674291
122	0.1585363073
123	0.1580694037
124	0.1576353661
125	0.1573402836
126	0.1568664973
127	0.1562651669
128	0.1558032338
129	0.1553389024
130	0.1549430407
131	0.1545882975
132	0.1542437747
133	0.1538902847
134	0.1536289346
135	0.1529802878
136	0.152758805
137	0.1522997346
138	0.1518793117
139	0.1512904341
140	0.1509526754
141	0.1506239607
142	0.1502702243
143	0.1498775384
144	0.1491709147
145	0.1487381995
146	0.148397487
147	0.1478209405
148	0.1474243008
149	0.1468565903
150	0.1464047828
151	0.1460382313
152	0.1454352289
153	0.1450311861
154	0.1446905423
155	0.1443498006
156	0.1438289212
157	0.14335538
158	0.1428149201
159	0.1424514792
160	0.1420860957
161	0.1417473862
162	0.140889413
163	0.1404048952
164	0.139882169
165	0.1393269894
166	0.1388071962
167	0.138374436
